Cerrone,Cerrone 3 (Supernature),cerrone_supernature.original.png
Chic,C'est Chic,chic_cest_chic.original.png
Donna Summer,Love to Love You Baby,donna_summer_love_to_love_you_baby.original.png
First Choice,Delusions,first_choice_delusions.original.png
Gloria Gaynor,Never Can Say Goodbye,gloria_gaynor_never_can_say_goodbye.original.png
Loleatta Holloway,Queen of the Night,loleatta_holloway_queen_of_the_night.original.png
Sister Sledge,We Are Family,sister_sledge_we_are_family.original.png
Sylvester,Step II,sylvester_step_ii.original.png
